Biome,Scene ID (Level-1T),Path,Row,Acquisition Date,Approximate Cloud Status,Shadows?,Manual CCA
Barren,LC80420082013220LGN00,42,8,8/8/2013,Clear,no,0.00%
Barren,LC80500092014231LGN00,50,9,8/19/2014,Cloudy,no,98.13%
Barren,LC80530022014156LGN00,53,2,6/5/2014,Clear,no,0.00%
Barren,LC81330312013202LGN00,133,31,7/21/2013,MidClouds,no,23.02%
Barren,LC81360302014162LGN00,136,30,6/11/2014,Cloudy,no,76.93%
Barren,LC81390292014135LGN00,139,29,5/15/2014,MidClouds,no,36.79%
Barren,LC81550082014263LGN00,155,8,9/20/2014,Cloudy,no,100.00%
Barren,LC81570452014213LGN00,157,45,8/1/2014,MidClouds,no,61.91%
Barren,LC81640502013179LGN01,164,50,6/28/2013,Clear,yes,7.33%
Barren,LC81750432013144LGN00,175,43,5/24/2013,Clear,no,0.00%
Barren,LC81930452013126LGN01,193,45,5/6/2013,Cloudy,yes,64.06%
Barren,LC81990402014267LGN00,199,40,9/24/2014,MidClouds,no,85.64%
Forest,LC80070662014234LGN00,7,66,8/22/2014,Clear,yes,5.05%
Forest,LC80160502014041LGN00,16,50,2/10/2014,MidClouds,yes,49.59%
Forest,LC80200462014005LGN00,20,46,1/5/2014,Clear,yes,12.04%
Forest,LC80500172014247LGN00,50,17,9/4/2014,MidClouds,no,65.83%
Forest,LC81170272014189LGN00,117,27,7/8/2014,Cloudy,no,99.50%
Forest,LC81310182013108LGN01,131,18,4/18/2013,Clear,yes,5.44%
Forest,LC81330182013186LGN00,133,18,7/5/2013,MidClouds,no,97.63%
Forest,LC81720192013331LGN00,172,19,11/27/2013,Cloudy,no,100.00%
Forest,LC81750622013304LGN00,175,62,10/31/2013,Clear,yes,7.09%
Forest,LC81800662014230LGN00,180,66,8/18/2014,Cloudy,no,96.55%
Forest,LC82290572014141LGN00,229,57,5/21/2014,MidClouds,yes,53.70%
Forest,LC82310592014139LGN00,231,59,5/19/2014,Cloudy,no,99.68%
Grass/Crops,LC80290292014132LGN00,29,29,5/12/2014,Cloudy,no,100.00%
Grass/Crops,LC80290372013257LGN00,29,37,9/14/2013,MidClouds,yes,25.61%
Grass/Crops,LC80980712014024LGN00,98,71,1/24/2014,MidClouds,yes,33.01%
Grass/Crops,LC81220312014208LGN00,122,31,7/27/2014,Clear,yes,0.70%
Grass/Crops,LC81220422014096LGN00,122,42,4/6/2014,Cloudy,no,100.00%
Grass/Crops,LC81320352013243LGN00,132,35,8/31/2013,MidClouds,no,32.41%
Grass/Crops,LC81440462014250LGN00,144,46,9/7/2014,Cloudy,no,100.00%
Grass/Crops,LC81490432014141LGN00,149,43,5/21/2014,Clear,yes,0.12%
Grass/Crops,LC81510262014139LGN00,151,26,5/19/2014,Cloudy,no,100.00%
Grass/Crops,LC81750512013208LGN00,175,51,7/27/2013,MidClouds,yes,58.97%
